TAIL_NUMBER,AVG_DELAY,PROPAGATION_COUNT,TOTAL_FLIGHTS
N613SW,12.728613569321533,48,339
N483WN,14.958944281524927,48,341
N7723E,9.985994397759104,48,357
N767SW,14.818941504178273,48,359
N214WN,11.965217391304348,48,345
N622NK,15.248148148148148,48,270
N492WN,14.645945945945947,48,370
N213WN,12.084057971014493,48,345
N750EV,15.040880503144654,48,318
N604QX,20.068852459016394,48,305
N213FR,35.90594059405941,48,202
N937WN,9.893782383419689,48,386
N486WN,10.636636636636636,48,333
N225WN,12.655172413793103,48,377
N399WN,12.690860215053764,48,372
N831MQ,17.478991596638654,48,238
N419WN,17.88145896656535,48,329
N678MQ,15.128279883381925,48,343
N917EV,12.567251461988304,48,342
N371SW,9.901333333333334,48,375
N643MQ,16.002958579881657,48,338
N922EV,15.279596977329975,48,397
N623NK,16.111475409836064,47,305
N647SW,10.247706422018348,47,327
N634NK,16.234527687296417,47,307
N778SW,10.17191977077364,47,349
N636MQ,18.098245614035086,47,285
N818MQ,24.625514403292183,47,243
N435WN,11.927745664739884,47,346
N218WN,11.361823361823362,47,351
N337JB,9.132013201320133,47,303
N121SY,25.273972602739725,47,219
N359SW,10.160621761658032,47,386
N616NK,13.211221122112212,47,303
N490WN,14.282051282051283,47,351
N617NK,13.871080139372822,47,287
N908MQ,13.467647058823529,47,340
N707EV,18.363013698630137,47,292
N703JB,27.48898678414097,47,227
N515NK,20.21985815602837,47,282
N411WN,10.906158357771261,47,341
N597JB,19.58256880733945,47,218
N794SW,9.669642857142858,47,336
N924FR,15.01699716713881,47,353
N933WN,10.88857938718663,47,359
N307JB,16.04964539007092,47,282
N734SA,10.264204545454545,47,352
N244WN,15.114035087719298,47,342
N925SW,14.202985074626866,47,335
N664MQ,14.02295081967213,47,305
N228WN,10.54191616766467,47,334
N505AA,16.059649122807016,46,285
N348JB,10.890675241157556,46,311
N290WN,11.067055393586006,46,343
N619NK,16.752727272727274,46,275
N925AT,13.003030303030304,46,330
N785SW,8.891428571428571,46,350
N283WN,11.907042253521126,46,355
N7703A,17.12280701754386,46,342
N517NK,15.244604316546763,46,278
N7720F,12.876373626373626,46,364
N712SW,10.84958217270195,46,359
N3AEMQ,21.478102189781023,46,274
N975SW,14.009803921568627,46,306
N757LV,10.441011235955056,46,356
N834JB,19.94170403587444,46,223
N953AT,12.743515850144092,46,347
N833AS,23.33606557377049,46,244
N715SW,14.750877192982456,46,285
N965WN,11.231428571428571,46,350
N929FR,14.144444444444444,46,360
N908EV,24.605555555555554,46,180
N943WN,12.610354223433243,46,367
N7713A,13.6878612716763,46,346
N445WN,12.282798833819243,46,343
N452SW,13.076315789473684,46,380
N183JB,26.047619047619047,46,189
N434WN,12.11304347826087,46,345
N628SW,9.38135593220339,46,354
N628MQ,13.59233449477352,46,287
N440LV,8.279635258358663,46,329
N694MQ,21.104,46,250
N950WN,10.654390934844193,45,353
N507NK,13.847826086956522,45,230
N759EV,18.447811447811446,45,297
N608SW,14.022222222222222,45,360
N849AS,11.864102564102565,45,390
N853MQ,18.481203007518797,45,266
N824MQ,17.707818930041153,45,243
N562WN,12.663956639566395,45,369
N910FR,13.498069498069498,45,259
